ts_ms,seq,state,fsr_0,fsr_1,fsr_2,fsr_3,ir_0,ir_1,ir_2,ir_3,ir_4,ir_5,us_bottom,us_top,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,imu_temp_c,wall_ts
12,5,SNIFF,223.0,222.0,225.0,228.0,0,1,1,1,1,1,26.95094240932911,46.43510026581923,0.09565025824959283,9.768847791278212,-0.07931088848726293,0.011624922191530189,-0.014051363414967254,0.007566077252414807,37.1521288745054,1787429377.3197453
15,6,SNIFF,221.0,222.0,225.0,230.0,1,0,1,1,0,1,20.49325540977476,53.81090568088642,0.17752534173988171,9.899882227894366,-0.3376371555246016,0.0009644981419725781,-0.0019037459445851931,0.0034639154379123758,37.78277249320147,1787429377.3206053
17,7,SNIFF,222.0,222.0,223.0,231.0,1,0,0,1,1,0,21.85738498869675,39.95190233177385,0.12956616861394732,9.800007559792629,-0.007712630382791151,0.015998774118478984,0.006909457485055996,0.003752623440215667,37.10014088029217,1787429377.3231719
20,8,SNIFF,221.0,220.0,222.0,235.0,0,0,0,0,0,0,23.380849218282435,52.67643320889249,0.1706310265888336,9.79598390940797,0.32973042431861443,0.010101629244832974,0.004685740607193438,0.005844494322420002,37.17627233477803,1787429377.3256001
22,9,SNIFF,220.0,222.0,221.0,234.0,0,1,1,0,0,1,32.894662883133186,48.922884720304396,0.2357810851640227,9.930039583086632,0.102706821867066,-0.0016115691083899205,-0.0030484707836415676,0.027142400531127577,37.121078975428084,1787429377.32842
24,10,SNIFF,220.0,221.0,221.0,236.0,1,0,1,1,1,0,24.66350623719675,55.49541525413608,0.22436459714904775,9.778800227016706,0.035707983438457144,0.0012645506240249113,-0.0024912772772826587,0.0009153296576661137,37.40055156506092,1787429377.3321836
27,11,SNIFF,220.0,223.0,221.0,234.0,0,1,1,0,1,0,33.50737844512668,44.88053989664708,0.22085797017956632,9.87041031906061,-0.28050374585678595,0.0109065839829744,0.01228396946808471,0.035176426542034865,37.069170711986445,1787429377.3335855
29,12,SNIFF,218.0,224.0,220.0,235.0,1,0,1,1,0,1,33.34765411328526,67.43040301544244,0.207665526432972,9.790307641794545,-0.3943480607141577,0.03096648441414025,-0.0032002125188830433,-0.0012938424906891299,37.355467515212354,1787429377.3356442
32,13,SNIFF,220.0,224.0,221.0,233.0,1,1,1,1,1,1,27.407025633596817,50.31893208546721,0.23567118933877781,9.886340108533004,-0.10700823044042429,0.01636178277920584,0.021773555731952735,0.013200690830439111,37.514670980495055,1787429377.3383121
34,14,SNIFF,220.0,223.0,219.0,235.0,1,1,0,1,1,0,27.054868817426076,50.31480079013747,0.2770539979744527,9.82141653328751,0.35727859099465475,0.017888200114120983,0.0022396898878325727,0.008628748657477862,37.15262994709806,1787429377.3407092
37,15,SNIFF,221.0,224.0,219.0,233.0,1,1,0,1,1,0,24.662175310576494,57.800267568193746,0.314503863712704,9.837218884516847,0.3421054845112995,0.010943548654390314,0.01361555742733078,0.003699815778579762,37.365597635359414,1787429377.3444998
40,16,SNIFF,221.0,225.0,218.0,235.0,1,0,0,0,1,1,19.71183897738704,49.5982809626108,0.2600785706905028,9.87449514689059,0.4418627934690634,0.019763232590208304,0.03046100427936372,0.019562289614282153,37.20655641857525,1787429377.3462257
42,17,SNIFF,219.0,224.0,219.0,237.0,1,1,0,1,0,0,23.635586299235577,53.54543793676012,0.2609927290752687,9.926978193353134,0.10546992951260327,0.020315325756757888,0.03233851971954303,-0.004455959865016474,37.41369431119781,1787429377.348866
45,18,SNIFF,219.0,224.0,219.0,236.0,1,0,0,0,1,0,23.025647084749743,45.06649989625808,0.28896602793088527,9.924392261555864,0.39734908849247774,0.004901420018022918,0.014236690534611235,0.030301336314396743,37.31082330026482,1787429377.3507428
47,19,SNIFF,223.0,223.0,215.0,238.0,0,0,1,0,1,0,27.758546424067973,53.14512705687663,0.29187179734406193,9.962091857214276,-0.4051372045310264,0.0030487074373212446,-0.00044759979280589723,0.007623816678128401,37.340390725244255,1787429377.3533483
50,20,SNIFF,222.0,224.0,214.0,238.0,1,0,1,0,1,1,25.52983133068748,54.97711425214443,0.284840218504555,9.918878918938844,0.3499774258417033,0.011783533286462389,0.020932617566029238,0.013062557089554321,37.14302318672349,1787429377.3558364
52,21,SNIFF,221.0,224.0,216.0,237.0,1,1,0,0,1,0,29.214340077514407,60.3246189869959,0.35728707431978507,9.91307414762989,-0.0847143379667391,0.00518304406430843,0.01110707065262207,0.0164082423092143,37.3856593983137,1787429377.35834
55,22,SNIFF,222.0,225.0,215.0,237.0,1,1,1,1,1,0,30.268889666287933,48.01107096741647,0.32830563986093414,9.950194691427413,0.21556284597604386,0.03205240191561534,0.015417923851689877,0.004077207191876351,37.21387622702656,1787429377.361402
57,23,SNIFF,222.0,226.0,213.0,237.0,1,0,1,1,0,1,24.827233653404953,61.6233869745771,0.328344352410279,9.900936290308236,-0.3857049825843171,-0.0022173092543672952,0.007338683975649544,0.013925772256152293,37.32383422339508,1787429377.3634899
60,24,SNIFF,221.0,228.0,211.0,237.0,1,1,0,1,1,0,22.88207041309832,52.581808153745314,0.4080153362870161,10.034638420344738,0.13899822283742064,0.029484951762956874,0.023109348865731995,0.021973104998016864,37.14275025328887,1787429377.365937
62,25,SNIFF,222.0,228.0,213.0,234.0,1,1,0,1,1,1,14.141884648633393,46.73902695240419,0.27773809553092743,9.876842374458608,0.5368581860823166,0.027749226739840323,0.011602574587275557,0.0037723423597144905,37.21989549460315,1787429377.368419
65,26,SNIFF,221.0,229.0,213.0,235.0,1,1,1,1,0,1,31.61528556826623,47.3447857286469,0.32617093380026513,9.999486028238486,-0.18338772950544968,0.009642469482877771,0.031877269403225696,0.016605986173072764,37.110287158394335,1787429377.3710938
67,27,SNIFF,223.0,226.0,215.0,234.0,1,1,0,1,0,0,24.986489724207942,49.044890771719636,0.3159309861751279,9.933018336496543,-0.40228891686575247,0.013875421436445823,0.02461437511117478,0.0203454498455878,37.25928360016174,1787429377.3734307
70,28,SNIFF,226.0,226.0,214.0,232.0,1,1,1,1,0,1,29.60073825607985,54.43647603380569,0.27334345408083915,9.898466220609606,0.10161897133212204,0.021825124861638293,0.018993594162182766,0.010826820802364016,37.252407162414876,1787429377.376815
72,29,SNIFF,225.0,227.0,212.0,235.0,1,0,0,1,0,1,28.85758593052263,61.98377918448796,0.36074222153027663,9.984621415148263,-0.6206797475738963,0.011246512393510731,0.01987219979464276,0.012088658781895469,37.56425977016262,1787429377.3795552
75,30,SNIFF,223.0,226.0,212.0,236.0,1,1,1,1,1,0,23.453538867591057,53.24678966482719,0.35608524246361495,9.894035996534768,0.28888852894984296,0.016428748596897948,0.034948609639866846,0.015928262106085257,36.91525311292019,1787429377.380933
77,31,SNIFF,225.0,225.0,211.0,238.0,1,0,1,0,1,1,27.88454517359972,46.79928591701166,0.3197632497606766,10.015614988990649,-0.004929876642451897,0.02162921694328627,0.023997274680362935,0.015111480862290791,37.11894614691013,1787429377.3835263
80,32,SNIFF,222.0,226.0,211.0,239.0,0,1,1,0,1,1,24.650699351725976,49.14798071355487,0.3003350518489408,9.958934151857562,-0.32918952852129546,0.025946430138483252,0.039481312640993284,0.020674066145904973,37.56956500259121,1787429377.3859527
82,33,SNIFF,222.0,228.0,209.0,239.0,1,0,1,0,1,0,22.39030762082995,47.9459543680167,0.3111641077740159,9.966865259226635,0.5122007917712021,0.018334412714073076,0.004652703265241448,0.021396701492164622,37.35696880732163,1787429377.389639
85,34,SNIFF,223.0,227.0,207.0,241.0,0,1,1,1,1,1,31.00690003426078,46.8720624881763,0.3734112950041508,9.976961451351407,0.25858888477174186,0.01994918958720348,0.029786227560297043,0.02786932090077067,37.10823190137014,1787429377.3908699
87,35,SNIFF,222.0,228.0,206.0,243.0,1,1,1,1,0,0,30.45186356664105,48.52963609285578,0.22703694830479138,9.889387220685553,-0.5789937592152248,0.007245680441593362,0.00773050372682214,0.0148710183400931,37.15569277685384,1787429377.3942626
90,36,SNIFF,223.0,228.0,207.0,241.0,1,1,1,0,0,0,25.615284252306672,56.76811314409582,0.3019544595884381,9.904803166004044,-0.3426134180900817,0.027670146708931767,0.01730313253400537,0.010589853539711855,36.971967816174754,1787429377.396047
92,37,SNIFF,221.0,228.0,207.0,242.0,1,0,1,1,1,1,30.00698159060603,57.12635055957162,0.3014603547164738,9.955903830609362,0.38475113750997025,0.02841957088502374,0.004150768121661336,-0.0021231974878295236,37.125656660682864,1787429377.3979864
95,38,SNIFF,220.0,229.0,208.0,241.0,1,1,1,1,0,0,30.99866106817511,53.81222685716766,0.3933089264583614,10.026958715444447,-0.14041340015646425,0.0327322054152404,0.03057827626724663,0.02860746841430814,36.944031808472,1787429377.4006655
