config,n_folds,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,sensitivity_recall_mean,specificity_mean,f1_macro_mean,brier_score_mean,train_time_s_mean
Stacked-LR-ensemble,5,0.98612,0.01810805345695665,0.925,0.0716666728682168,0.925,0.91668,0.9333400000000001,0.92422,0.0623,135.66948761940003
Quantum-Augmented-XGB,5,0.97362,0.02300377360347644,0.9000199999999999,0.056505659893500954,0.9000199999999999,0.8833400000000001,0.91668,0.8991199999999999,0.06098,15.35004801750183
SoftVote-ensemble,5,0.91252,0.04981366880686465,0.8083400000000001,0.062368087993780914,0.8083400000000001,0.73334,0.8833400000000001,0.80328,0.13662000000000002,1.093927812576294
PCA-XGBoost (classical control),5,0.9097,0.0532621066049776,0.8666400000000001,0.04859241093010307,0.8666400000000001,0.8333400000000001,0.9,0.8654400000000001,0.10888,0.1592003345489502
Raw-XGBoost (classical control),5,0.8868,0.07566454916273538,0.78334,0.048592410930103073,0.78334,0.75,0.8166800000000001,0.7798,0.15096,0.12348484992980957
MI-CWZZ-QSVM,5,0.75694,0.08342255330544615,0.6916800000000001,0.033315005628095,0.6916800000000001,0.73334,0.65,0.68296,0.20058000000000004,0.8383635520935059
CWZZ-permuted-QSVM (control),5,0.6889000000000001,0.09497612331528381,0.64166,0.10737887315482503,0.64166,0.6,0.6833400000000001,0.63874,0.2191,1.99007568359375
CWZZ-QSVM (flagship),5,0.65834,0.15642451981706704,0.61668,0.14529931039065533,0.61668,0.63332,0.6,0.6123799999999999,0.2299,2.5480698585510253
AE-VQC,5,0.5764,0.1513705915955936,0.50834,0.1328110627922237,0.50834,0.5333600000000001,0.48334,0.5013,0.24062,20.961040639877318
QCNN,5,0.5583199999999999,0.10860527427339799,0.59166,0.11608952752078888,0.59166,0.63332,0.54998,0.58866,0.24900000000000003,13.390904521942138
ZZ-QSVM,5,0.55694,0.11471548456943376,0.51666,0.13069557911421487,0.51666,0.53334,0.5000199999999999,0.50376,0.24982000000000001,2.484768009185791
Angle-QSVM,5,0.55694,0.11471548456943376,0.51666,0.13069557911421487,0.51666,0.53334,0.5000199999999999,0.50376,0.24982000000000001,2.2986411094665526
